"spp","missing_charts","missing_models","missing_model_inputs"
"Artemisia nesiotica",FALSE,FALSE,FALSE
"Astragalus ertterae",FALSE,FALSE,FALSE
"Astragalus nevinii",FALSE,FALSE,FALSE
"Astragalus traskiae",TRUE,TRUE,FALSE
"Triteleia clementina",FALSE,FALSE,FALSE
"Brodiaea kinkiensis",TRUE,TRUE,FALSE
"Calochortus monanthus",TRUE,TRUE,TRUE
"Camissoniopsis guadalupensis",FALSE,FALSE,FALSE
"Castilleja grisea",FALSE,FALSE,FALSE
"Constancea nevinii",FALSE,FALSE,FALSE
"Cryptantha traskiae",TRUE,TRUE,FALSE
"Deinandra clementina",FALSE,FALSE,FALSE
"Dudleya nesiotica",FALSE,FALSE,FALSE
"Dudleya traskiae",TRUE,TRUE,FALSE
"Dudleya virens",FALSE,FALSE,FALSE
"Eriogonum covilleanum",FALSE,FALSE,FALSE
"Eriogonum crocatum",FALSE,FALSE,FALSE
"Eriogonum dasyanthemum",FALSE,FALSE,FALSE
"Eriogonum davidsonii",FALSE,FALSE,FALSE
"Eschscholzia ramosa",FALSE,FALSE,FALSE
"Eucephalus vialis",TRUE,TRUE,TRUE
"Galium catalinense",FALSE,FALSE,FALSE
"Gambelia speciosa",FALSE,FALSE,FALSE
"Gilia nevinii",FALSE,FALSE,FALSE
"Lasthenia maritima",FALSE,FALSE,FALSE
"Lithophragma maximum",FALSE,FALSE,FALSE
"Lomatium insulare",TRUE,TRUE,FALSE
"Lupinus guadalupensis",FALSE,FALSE,FALSE
"Lupinus uncialis",TRUE,TRUE,TRUE
"Lycium verrucosum",TRUE,TRUE,FALSE
"Malacothrix foliosa",FALSE,FALSE,FALSE
"Malacothrix junakii",TRUE,TRUE,FALSE
"Munzothamnus blairii",FALSE,FALSE,FALSE
"Ornithostaphylos oppositifolia",FALSE,FALSE,FALSE
"Penstemon barnebyi",TRUE,TRUE,TRUE
"Phacelia floribunda",FALSE,FALSE,FALSE
"Phacelia lyonii",FALSE,FALSE,FALSE
"Phlox muscoides",TRUE,TRUE,TRUE
"Salicornia rubra",TRUE,TRUE,TRUE
"Senecio lyonii",FALSE,FALSE,FALSE
"Sibara filifolia",FALSE,FALSE,FALSE
"Sphaeralcea munroana",TRUE,TRUE,TRUE
"Trifolium palmeri",FALSE,FALSE,FALSE
"Zeltnera davyi",FALSE,FALSE,FALSE
"Zeltnera trichantha",FALSE,FALSE,FALSE
"Zeltnera venusta",FALSE,FALSE,FALSE
